Gene set	size	genes
Op:glmUS	2	b3730,b3729
Op:glnALG	3	b3870,b3869,b3868
Op:glnHPQ	3	b0811,b0810,b0809
Op:glnK-amtB	2	b0450,b0451
Op:glpABC	3	b2241,b2242,b2243
Op:glpEGR	3	b3425,b3424,b3423
Op:glpFKX	3	b3927,b3926,b3925
Op:glpTQ	2	b2240,b2239
Op:glrR-glnB	2	b2554,b2553
Op:glsA-ybaT	2	b0485,b0486
Op:glsB-yneG	2	b1524,b1523
Op:gltBDF	3	b3212,b3213,b3214
Op:gltI-sroC-gltJKL	4	b0655,b0654,b0653,b0652
Op:glvCBG-ysdC	3	b3683,b3682,b3681
Op:glyQS	2	b3560,b3559
Op:gntRKU	3	b3438,b3437,b4476
Op:gpmM-envC-yibQ	3	b3612,b3613,b3614
Op:groSL	2	b4142,b4143
Op:gspAB	2	b3323,b3322
Op:gspCDEFGHIJKLMO	12	b3324,b3325,b3326,b3327,b3328,b3329,b3330,b3331,b3332,b3333,b3334,b3335
Op:guaBA	2	b2508,b2507
Op:gudPXD	3	b2789,b2788,b2787
Op:hcaEFCBD	5	b2538,b2539,b2540,b2541,b2542
Op:hcp-hcr-poxB-ltaE-ybjT	5	b0873,b0872,b0871,b0870,b0869
Op:hdeAB-yhiD	3	b3510,b3509,b3508
Op:hemA-prfA-prmC	3	b1210,b1211,b1212
Op:hemCDXY	4	b3805,b3804,b3803,b3802
Op:hflD-purB	2	b1132,b1131
Op:hicAB	2	b4532,b1438
Op:higBA	2	b3083,b3082
Op:hinT-ycfL-lpoB-thiK-nagZ-ycfP	6	b1103,b1104,b1105,b1106,b1107,b1108
Op:hipBA	2	b1508,b1507
Op:hisLGDCBHAFI	9	b2018,b2019,b2020,b2021,b2022,b2023,b2024,b2025,b2026
Op:hofMNOP	4	b3395,b3394,b3393,b3392
Op:holC-valS	2	b4259,b4258
Op:holD-rimI-yjjG	3	b4372,b4373,b4374
Op:hprRS	2	b1969,b1968
Op:hscBA-fdx-iscX	4	b2527,b2526,b2525,b2524
Op:hsdRMS	3	b4350,b4349,b4348
Op:hslVU	2	b3932,b3931
Op:hyaABCDEF	6	b0972,b0973,b0974,b0975,b0976,b0977
Op:hybOABCDEFG	8	b2997,b2996,b2995,b2994,b2993,b2992,b2991,b2990
Op:hycABCDEFGHI	9	b2725,b2724,b2723,b2722,b2721,b2720,b2719,b2718,b2717
Op:hydN-hypF	2	b2713,b2712
Op:hyfABCDEFGHIJR-focB	12	b2481,b2482,b2483,b2484,b2485,b2486,b2487,b2488,b2489,b2490,b2491,b2492
Op:hypABCDE-fhlA	6	b2726,b2727,b2728,b2729,b2730,b2731
Op:iaaA-gsiABCD	5	b0828,b0829,b0830,b0831,b0832
Op:ibaG-murA	2	b3190,b3189
Op:ibpAB	2	b3687,b3686
Op:idnDOTR	4	b4267,b4266,b4265,b4264
Op:ilvIH	2	b0077,b0078
Op:ilvLXGMEDA	7	b3766,b4669,b4488,b3769,b3770,b3771,b3772
Op:insAB2A2B2-afuBC	2	b0263,b0262
Op:insCD4C4D4-ygeON	2	b2859,b2858
Op:iscRSUA	4	b2531,b2530,b2529,b2528
Op:ispDF	2	b2747,b2746
Op:ivbL-ilvBN-uhpABC	6	b3672,b3671,b3670,b3669,b3668,b3667
Op:kbaZ-agaVWA	4	b3132,b3133,b3134,b3135
Op:kbl-tdh	2	b3617,b3616
Op:kdpDE	2	b0695,b0694
Op:kdpFABC	4	b4513,b0698,b0697,b0696
Op:kefFC	2	b0046,b0047
Op:kefGB-yheV	3	b3351,b3350,b4551
Op:kilR-ydaE	2	b1352,b4526
Op:lacZYA	3	b0344,b0343,b0342
Op:lapAB-pyrF-yciH	4	b1279,b1280,b1281,b1282
Op:lepAB	2	b2569,b2568
Op:leuLABCD	5	b0075,b0074,b0073,b0072,b0071
Op:leuS-lptE-holA-nadD-cobC	5	b0642,b0641,b0640,b0639,b0638
Op:lexA-dinF	2	b4043,b4044
Op:lgt-thyA	2	b2828,b2827
Op:ligA-ypeB	2	b2411,b4546
Op:livKHMGF	5	b3458,b3457,b3456,b3455,b3454
Op:lldPRD	3	b3603,b3604,b3605
Op:lolA-rarA	2	b0891,b0892
Op:lolB-ispE-prs	3	b1209,b1208,b1207
Op:lolCDE	3	b1116,b1117,b1118
Op:lptD-surA-pdxA-rsmA-apaGH	6	b0054,b0053,b0052,b0051,b0050,b0049
Op:lptFG	2	b4261,b4262
Op:lsrACDBFG-tam	7	b1513,b1514,b1515,b1516,b1517,b1518,b1519
Op:lsrRK	2	b1512,b1511
Op:macAB	2	b0878,b0879
Op:malEFG	3	b4034,b4033,b4032
Op:malK-lamB-malM	3	b4035,b4036,b4037
Op:malPQ	2	b3417,b3416
Op:malXY	2	b1621,b1622
Op:manXYZ	3	b1817,b1818,b1819
Op:map-glnD-dapD	3	b0168,b0167,b0166
Op:marRAB	3	b1530,b1531,b1532
Op:mcrBC	2	b4346,b4345
Op:mdlAB	2	b0448,b0449
Op:mdtABCD-baeSR	6	b2074,b2075,b2076,b2077,b2078,b2079
Op:mdtJI	2	b1600,b1599
Op:mdtM-yjiN	2	b4337,b4336
Op:mdtNOP	3	b4082,b4081,b4080
Op:melAB	2	b4119,b4120
Op:menA-rraA	2	b3930,b3929
Op:menFDHBCE	6	b2265,b2264,b2263,b2262,b2261,b2260
Op:metBL	2	b3939,b3940
