Gene set	size	genes
GS:Rob	25	b1276,b0463,b0462,b0762,b1415,b3800,b1611,b2237,b0819,b1531,b1532,b1530,b2558,b2159,b0851,b0578,b0852,b4396,b3908,b3035,b0850,b0853,b3037,b3038,b1852
GS:RstA	10	b1597,b1040,b1039,b1038,b1037,b1224,b1225,b1227,b1226,b0929
GS:RtcR	2	b4475,b3421
GS:RutR	17	b0032,b0033,b0592,b3515,b3516,b1651,b1650,b1649,b1285,b1012,b1011,b1010,b1009,b1008,b1007,b1006,b1013
GS:SdiA	7	b0094,b0093,b0093,b0095,b3515,b0953,b3995
GS:SgrR	7	b2379,b0070,b0069,b4662,b0068,b0067,b0066
GS:SlyA	37	b2755,b2754,b2760,b2759,b2758,b2757,b2756,b4293,b4292,b3324,b3325,b3326,b3327,b3328,b3329,b3330,b3331,b3332,b3333,b3334,b3335,b1182,b0076,b1388,b1389,b1390,b1391,b1392,b1393,b1394,b1395,b1396,b1397,b1398,b0622,b0953,b3995
GS:SoxR	8	b2601,b1611,b3908,b4063,b4062,b2600,b4060,b3207
GS:SrlR	7	b2706,b2708,b2702,b2704,b2705,b2703,b2707
GS:StpA	16	b3721,b3722,b3723,b2755,b2754,b2760,b2759,b2758,b2757,b2756,b2912,b0076,b4034,b4033,b4032,b2669
GS:SutR	6	b3607,b1922,b1921,b1434,b1434,b1920
GS:TdcA	7	b3118,b3117,b3116,b3115,b3114,b3113,b4471
GS:TdcR	7	b3118,b3117,b3116,b3115,b3114,b3113,b4471
GS:TorR	12	b3517,b3516,b3510,b3509,b3708,b3709,b3707,b0997,b0996,b0998,b0995,b3508
GS:TreR	2	b4240,b4239
GS:TrpR	12	b1704,b0388,b0390,b3161,b1260,b1261,b1262,b1263,b1264,b1265,b4393,b0389
GS:TyrR	13	b2601,b0754,b0388,b0390,b0112,b0048,b3161,b2600,b4054,b1907,b1907,b1323,b0389
GS:UidR	4	b1617,b1616,b1615,b1618
GS:UlaR	7	b4193,b4194,b4195,b4196,b4197,b4198,b4192
GS:UvrY	3	b2687,b3666,b1501
GS:UxuR	9	b3094,b4321,b4357,b1617,b1616,b1615,b4322,b4323,b4324
GS:XapR	2	b2407,b2406
GS:XylR	8	b0064,b3565,b3564,b4031,b3566,b3567,b3568,b3569
GS:YdeO	20	b0980,b0979,b0978,b4592,b3507,b3512,b3515,b0972,b0973,b0974,b0975,b0976,b0977,b3513,b3514,b1500,b3506,b3923,b1499,b3922
GS:YefM	2	b2017,b4539
GS:YefM-YoeB	2	b2017,b4539
GS:YiaJ	9	b3580,b3583,b3581,b3582,b3575,b3576,b3577,b3578,b3579
GS:YjjQ	10	b2604,b1891,b1892,b0987,b2215,b0786,b4523,b2605,b2603,b4522
GS:YqhC	2	b3012,b3011
GS:ZraR	3	b4002,b4004,b4003
GS:Zur	6	b0296,b4506,b1973,b1857,b1859,b1858
GO:0009088 - threonine biosynthetic process	8	b0001,b0002,b0003,b0004,b3089,b3116,b3433,b3823
GO:0009086 - methionine biosynthetic process	12	b0002,b0260,b0261,b3008,b3433,b3828,b3829,b3938,b3939,b3940,b4013,b4019
GO:0009090 - homoserine biosynthetic process	4	b0002,b3433,b3940,b4024
GO:0009052 - pentose-phosphate shunt, non-oxidative branch	9	b0008,b2029,b2464,b2465,b2914,b2935,b3386,b4089,b4090
GO:0006777 - Mo-molybdopterin cofactor biosynthetic process	14	b0009,b0760,b0761,b0763,b0765,b0781,b0782,b0783,b0784,b0785,b0826,b0827,b3856,b3857
GO:0006970 - response to osmotic stress	28	b0014,b0311,b0312,b0313,b0435,b0692,b0875,b1047,b1048,b1049,b1197,b1283,b1424,b1482,b1488,b1739,b1831,b1896,b1897,b2679,b2741,b3339,b3747,b3980,b4111,b4241,b4359,b4376
GO:0009268 - response to pH	4	b0019,b0020,b1186,b1597
GO:0006418 - tRNA aminoacylation for protein translation	31	b0026,b0144,b0194,b0526,b0642,b0680,b0893,b0930,b1204,b1637,b1713,b1714,b1715,b1719,b1764,b1866,b1876,b2114,b2318,b2400,b2514,b2697,b2890,b3074,b3384,b3559,b3560,b4129,b4155,b4258,b4386
GO:0009226 - nucleotide-sugar biosynthetic process	13	b0030,b0480,b0651,b1613,b2038,b2040,b2041,b2042,b2048,b2049,b2051,b3730,b3962
GO:0009089 - lysine biosynthetic process via diaminopimelate	18	b0031,b0166,b2156,b2306,b2307,b2308,b2310,b2472,b2478,b2838,b2839,b3359,b3433,b3809,b4024,b4131,b4132,b4139
GO:0006526 - arginine biosynthetic process	24	b0032,b0033,b0273,b0323,b0402,b0521,b0860,b0861,b0862,b0864,b2306,b2307,b2308,b2310,b2818,b3073,b3172,b3237,b3359,b3957,b3958,b3959,b3960,b4254
GO:0006221 - pyrimidine nucleotide biosynthetic process	12	b0032,b0033,b0323,b0425,b0521,b0945,b1062,b1281,b1658,b3642,b4244,b4246
GO:0042413 - carnitine catabolic process	6	b0035,b0036,b0038,b0039,b0043,b0044
GO:0006097 - glyoxylate cycle	5	b0039,b4014,b4015,b4016,b4018
GO:0046656 - folic acid biosynthetic process	11	b0048,b0142,b0529,b1096,b1812,b2153,b2315,b2551,b3058,b3177,b3360
GO:0008615 - pyridoxine biosynthetic process	10	b0052,b0420,b1302,b1638,b1779,b2320,b2564,b2927,b3073,b3591
GO:0009314 - response to radiation	8	b0060,b0779,b1633,b1749,b1913,b2159,b4044,b4058
GO:0009432 - SOS response	24	b0060,b0231,b0685,b0779,b0799,b0890,b0958,b1061,b1183,b1184,b1728,b1848,b1860,b1861,b2009,b2616,b2699,b3631,b3813,b4043,b4044,b4058,b4059,b4347
GO:0009228 - thiamin biosynthetic process	14	b0066,b0067,b0068,b0417,b0420,b0423,b2103,b2104,b2214,b3990,b3991,b3992,b3993,b3994
GO:0009098 - leucine biosynthetic process	16	b0071,b0072,b0073,b0074,b0075,b0076,b0401,b0889,b3454,b3455,b3456,b3457,b3458,b3460,b3770,b4054
GO:0006096 - glycolysis	18	b0080,b0113,b0114,b0115,b0116,b0186,b0755,b1676,b1779,b1854,b2097,b2168,b2696,b2779,b2926,b3919,b4025,b4395
GO:0042158 - lipoprotein biosynthetic process	5	b0082,b0453,b0641,b0657,b4386
GO:0009252 - peptidoglycan biosynthetic process	40	b0084,b0085,b0086,b0087,b0088,b0090,b0091,b0092,b0149,b0381,b0635,b1193,b1507,b1508,b1677,b1782,b1830,b2134,b2328,b2435,b2519,b2701,b2813,b2817,b2963,b3176,b3182,b3189,b3208,b3249,b3250,b3396,b3729,b3730,b3967,b3972,b4150,b4169,b4208,b4392
GO:0000270 - peptidoglycan metabolic process	12	b0086,b0110,b0433,b1107,b1192,b1243,b1244,b1245,b1246,b1247,b1329,b4233
GO:0009245 - lipid A biosynthetic process	11	b0096,b0179,b0181,b0182,b0524,b0915,b0918,b1054,b1855,b2378,b3633
GO:0009152 - purine ribonucleotide biosynthetic process	6	b0104,b0474,b1207,b1232,b2518,b3648
GO:0009435 - NAD biosynthetic process	16	b0109,b0639,b0750,b0759,b0931,b1385,b1734,b1740,b1768,b2041,b2053,b2574,b3619,b3788,b4119,b4390
GO:0009094 - L-phenylalanine biosynthetic process	7	b0112,b0576,b0754,b2598,b2599,b2600,b4054
GO:0006571 - tyrosine biosynthetic process	5	b0112,b1907,b2599,b2600,b4054
GO:0006086 - acetyl-CoA biosynthetic process from pyruvate	3	b0114,b0115,b0116
GO:0009436 - glyoxylate catabolic process	6	b0114,b0115,b0116,b1850,b2976,b3236
GO:0006099 - tricarboxylic acid cycle	20	b0116,b0118,b0720,b0721,b0722,b0723,b0724,b0726,b0727,b0728,b0729,b0730,b1136,b1276,b1611,b1612,b2210,b3236,b3956,b4122
GO:0006596 - polyamine biosynthetic process	19	b0120,b0121,b0692,b0693,b0854,b0855,b0856,b0857,b1123,b1124,b1125,b1126,b1584,b1658,b2220,b2937,b2938,b2965,b2988
GO:0006006 - glucose metabolic process	13	b0124,b0688,b1002,b1197,b1236,b1896,b1897,b3176,b3355,b3437,b3565,b4240,b4241
GO:0009401 - phosphoenolpyruvate-dependent sugar phosphotransferase system	6	b0129,b2383,b2387,b4193,b4194,b4304
GO:0015937 - coenzyme A biosynthetic process	7	b0131,b0133,b0134,b0586,b3258,b3639,b3974
GO:0046349 - amino sugar biosynthetic process	15	b0149,b0675,b0676,b0677,b0678,b0679,b3131,b3133,b3134,b3140,b3222,b3223,b3224,b3225,b3729
GO:0006826 - iron ion transport	24	b0152,b0584,b0585,b0586,b0587,b0588,b0589,b0590,b0592,b0805,b1102,b1902,b1905,b3005,b3006,b3336,b3337,b3408,b3409,b4287,b4289,b4290,b4291,b4292
GO:0009266 - response to temperature stimulus	21	b0161,b0437,b0623,b0731,b0909,b0989,b0990,b1379,b1823,b1829,b1838,b2378,b2572,b2573,b3400,b3461,b3556,b3686,b3687,b3931,b3989
GO:0006807 - nitrogen compound metabolic process	19	b0167,b0340,b0450,b0505,b0512,b0516,b0517,b1223,b1297,b1469,b1658,b1988,b3053,b3202,b3212,b3213,b3214,b3367,b3870
GO:0006542 - glutamine biosynthetic process	10	b0167,b0809,b0810,b0811,b0863,b1297,b2553,b3868,b3869,b3870
GO:0009386 - translational attenuation	7	b0172,b0676,b2696,b3306,b3319,b3984,b4172
GO:0008654 - phospholipid biosynthetic process	19	b0175,b0418,b0789,b1090,b1249,b1278,b1805,b1912,b2585,b2828,b3018,b3450,b3451,b3452,b3453,b4041,b4042,b4160,b4359
GO:0006401 - RNA catabolic process	14	b0183,b0214,b0611,b1084,b1286,b1652,b1804,b2567,b2696,b3164,b3643,b3704,b4162,b4179
GO:0006805 - xenobiotic metabolic process	36	b0192,b0338,b0339,b0340,b0341,b0444,b0605,b0606,b1324,b1531,b1532,b1646,b1650,b1656,b1732,b1797,b1874,b2392,b2456,b2457,b2480,b2495,b3292,b3469,b3494,b3502,b3706,b3887,b3908,b3911,b3912,b4484,b3924,b3942,b4062,b4063
GO:0009242 - colanic acid biosynthetic process	27	b0196,b0757,b0758,b0759,b1236,b1613,b1951,b2028,b2043,b2044,b2045,b2047,b2048,b2049,b2050,b2051,b2052,b2053,b2054,b2055,b2057,b2058,b2059,b2060,b2061,b2217,b2218
GO:0009102 - biotin biosynthetic process	11	b0210,b0424,b0774,b0775,b0776,b0777,b0778,b1593,b3412,b3551,b3973
GO:0017004 - cytochrome complex assembly	30	b0211,b0721,b0974,b0996,b1057,b1227,b1418,b1476,b1974,b2194,b2195,b2196,b2197,b2198,b2199,b2200,b2201,b2202,b2203,b2995,b3518,b3792,b3892,b4070,b4071,b4074,b4075,b4076,b4136,b4137
GO:0009438 - methylglyoxal metabolic process	5	b0212,b0963,b1415,b1651,b3588
GO:0006508 - proteolysis	8	b0214,b0885,b0955,b2699,b3235,b3571,b3931,b3932
GO:0019395 - fatty acid oxidation	30	b0221,b0330,b0331,b0333,b0335,b0346,b0347,b0348,b0349,b0350,b0351,b0352,b0353,b1187,b1694,b1805,b2219,b2220,b2221,b2222,b2223,b2224,b2341,b2344,b2797,b2917,b3081,b3548,b3845,b3846
GO:0009244 - lipopolysaccharide core region biosynthetic process	18	b0222,b0915,b0918,b1215,b3052,b3620,b3621,b3622,b3623,b3624,b3625,b3629,b3630,b3631,b3632,b3633,b3790,b3842
GO:0006561 - proline biosynthetic process	8	b0242,b0243,b0386,b1015,b2677,b2678,b2679,b4111
GO:0006071 - glycerol metabolic process	17	b0261,b0921,b2239,b2240,b2241,b2242,b2243,b3426,b3449,b3450,b3451,b3452,b3453,b3608,b3926,b3927,b3945
GO:0006578 - betaine biosynthetic process	4	b0311,b0312,b0314,b2679
GO:0009440 - cyanate catabolic process	3	b0339,b0340,b0341
GO:0006113 - fermentation	33	b0356,b0823,b1241,b1300,b1380,b1415,b1611,b1676,b1800,b1854,b2718,b2719,b2720,b2721,b2722,b2723,b2724,b2725,b2727,b2731,b3061,b3062,b3114,b3236,b3956,b4003,b4004,b4079,b4122,b4151,b4152,b4153,b4154
GO:0000271 - polysaccharide biosynthetic process	8	b0363,b1594,b3049,b3428,b3429,b3430,b3431,b3432
GO:0006790 - sulfur metabolic process	31	b0365,b0366,b0367,b0368,b0933,b0935,b0937,b1498,b1757,b1987,b2413,b2422,b2423,b2424,b2425,b2521,b2522,b2750,b2751,b2752,b2762,b2763,b2764,b2810,b3678,b3800,b3801,b3917,b4083,b4136,b4214
GO:0006793 - phosphorus metabolic process	33	b0383,b0384,b0399,b0400,b0934,b0936,b0980,b1020,b2501,b2502,b2987,b3493,b3608,b3724,b3725,b3726,b3727,b3728,b3779,b3821,b3825,b4092,b4094,b4095,b4096,b4097,b4099,b4100,b4101,b4102,b4105,b4106,b4226
GO:0042594 - response to starvation	17	b0384,b0564,b0598,b0812,b0937,b0980,b1020,b1580,b1581,b2570,b2571,b3228,b3229,b3506,b3650,b3779,b4354
GO:0009423 - chorismate biosynthetic process	9	b0388,b0908,b1693,b1981,b2329,b2601,b3281,b3389,b3390
GO:0006308 - DNA catabolic process	26	b0397,b0398,b0422,b0550,b0779,b0790,b1350,b1633,b1652,b1749,b1844,b1913,b1960,b2011,b2159,b2509,b2798,b2819,b2820,b2822,b2892,b2945,b3998,b4345,b4346,b4350
GO:0000272 - polysaccharide catabolic process	9	b0403,b0772,b1309,b1927,b3416,b3417,b3531,b3571,b3898
GO:0009101 - glycoprotein biosynthetic process	13	b0453,b1041,b1042,b1471,b1949,b2823,b2825,b2826,b4314,b4315,b4318,b4319,b4320
GO:0006310 - DNA recombination	21	b0472,b0912,b1712,b1860,b1861,b1863,b2565,b2616,b2699,b2819,b2820,b2822,b2894,b3261,b3700,b3811,b3822,b4059,b4260,b4312,b4313
GO:0009442 - allantoin assimilation pathway	7	b0505,b0507,b0509,b0512,b0514,b0516,b0517
GO:0009441 - glycolate metabolic process	6	b0507,b0509,b0514,b1415,b2799,b3125
GO:0006164 - purine nucleotide biosynthetic process	16	b0522,b0523,b1131,b1658,b1849,b2312,b2476,b2499,b2500,b2507,b2508,b2557,b4005,b4006,b4177,b4208
GO:0009296 - flagellum assembly	34	b0533,b1070,b1072,b1073,b1074,b1075,b1076,b1077,b1078,b1079,b1080,b1081,b1082,b1083,b1185,b1879,b1891,b1892,b1923,b1924,b1925,b1926,b1937,b1938,b1939,b1940,b1942,b1943,b1944,b1945,b1946,b1947,b1948,b1949
GO:0009239 - enterobactin biosynthetic process	6	b0583,b0586,b0593,b0594,b0595,b0596
GO:0019184 - nonribosomal peptide biosynthetic process	3	b0586,b0594,b0595
GO:0008152 - metabolic process	5	b0600,b0772,b1463,b3358,b3665
GO:0042967 - acyl-carrier-protein biosynthetic process	2	b0617,b1094
GO:0009107 - lipoate biosynthetic process	2	b0628,b0630
GO:0006537 - glutamate biosynthetic process	10	b0652,b0653,b0654,b0655,b1761,b3212,b3213,b3214,b3653,b4077
GO:0006532 - aspartate biosynthetic process	6	b0652,b0653,b0654,b0928,b3653,b4077
GO:0006529 - asparagine biosynthetic process	5	b0674,b1453,b3743,b3744,b4139
GO:0006094 - gluconeogenesis	13	b0755,b1479,b1702,b1779,b2696,b2779,b2926,b2927,b3236,b3403,b4025,b4232,b4395
GO:0006012 - galactose metabolic process	4	b0757,b0758,b0759,b1236
GO:0009269 - response to desiccation	10	b0757,b0758,b0759,b1236,b1613,b2028,b2048,b2049,b2052,b2053
GO:0015847 - putrescine transport	4	b0854,b0855,b0856,b0857
GO:0006545 - glycine biosynthetic process	6	b0870,b1658,b2551,b2679,b4208,b4388
GO:0042867 - pyruvate catabolic process	3	b0871,b2296,b2297
GO:0006564 - L-serine biosynthetic process	6	b0907,b2796,b2913,b3089,b3824,b4388
GO:0009248 - K antigen biosynthetic process	5	b0915,b0918,b1215,b1951,b3633
GO:0009250 - glucan biosynthetic process	3	b1047,b1048,b4359
GO:0007049 - cell cycle	4	b1055,b2566,b2879,b3865
GO:0006523 - alanine biosynthetic process	5	b1190,b3572,b3770,b4053,b4208
GO:0000162 - tryptophan biosynthetic process	10	b1260,b1261,b1262,b1263,b1264,b1265,b1704,b3161,b3709,b4393
GO:0019344 - cysteine biosynthetic process	6	b1275,b1920,b1987,b2414,b2421,b3607
GO:0006306 - DNA methylation	6	b1335,b1961,b3387,b4348,b4349,b4351
GO:0006520 - cellular amino acid metabolic process	4	b1493,b2810,b3517,b4139
GO:0006259 - DNA metabolic process	4	b1507,b1508,b2345,b3647
GO:0000105 - histidine biosynthetic process	12	b1658,b2018,b2019,b2020,b2021,b2022,b2023,b2024,b2025,b2026,b2306,b2309
GO:0009255 - Entner-Doudoroff pathway	3	b1850,b1851,b3438
GO:0009051 - pentose-phosphate shunt, oxidative branch	2	b1852,b2029
GO:0015986 - ATP synthesis coupled proton transport	12	b1941,b3469,b3731,b3732,b3733,b3734,b3735,b3736,b3737,b3738,b3739,b4242
GO:0009243 - O antigen biosynthetic process	13	b2027,b2035,b2036,b2037,b2038,b2039,b2040,b2041,b3176,b3729,b3730,b3788,b3789
GO:0009103 - lipopolysaccharide biosynthetic process	6	b2033,b2035,b2038,b2039,b2064,b3618
GO:0019305 - dTDP-rhamnose biosynthetic process	2	b2038,b2039
GO:0006950 - response to stress	9	b2257,b2681,b2744,b3088,b3494,b3495,b3860,b3923,b4187
GO:0045733 - acetate catabolic process	3	b2296,b2297,b4069
GO:0042966 - biotin carboxyl carrier protein biosynthetic process	2	b2510,b3255
GO:0009450 - gamma-aminobutyric acid catabolic process	2	b2661,b2662
GO:0009447 - putrescine catabolic process	2	b2661,b2662
GO:0006750 - glutathione biosynthetic process	3	b2688,b2947,b4208
GO:0006556 - S-adenosylmethionine biosynthetic process	3	b2942,b3829,b4019
GO:0009246 - enterobacterial common antigen biosynthetic process	11	b3176,b3730,b3784,b3785,b3786,b3787,b3788,b3789,b3791,b3793,b3794
GO:0016070 - RNA metabolic process	2	b4475,b4307
GO:0009297 - pilus assembly	3	b3842,b4312,b4313
